TransactionID,Amount,CustomerID,TransactionComment,CustomerFeedback
1.0,55.53033442986919,1952.0,Customer purchased groceries worth $55.53.,Will buy again!
2.0,12.881180192784145,1027.0,Customer requested refund for electronics worth $12.88.,Product arrived broken.
3.0,50.17632151706568,1955.0,Customer exchanged cosmetics worth $50.18.,The product does not match the description.
4.0,41.63400105303006,1796.0,Customer requested refund for electronics worth $41.63.,Excellent experience.
5.0,78.12285326574603,1946.0,Customer exchanged furniture worth $78.12.,Refund took too long.
6.0,86.94708413376785,1204.0,Customer requested refund for cosmetics worth $86.95.,Satisfied with the purchase.
7.0,51.1470964781812,1311.0,Customer requested refund for clothing worth $51.15.,Customer support was unhelpful.
8.0,56.16398430834813,1693.0,Customer purchased groceries worth $56.16.,Customer support was unhelpful.
9.0,37.182411723100415,1347.0,Customer exchanged furniture worth $37.18.,Satisfied with the purchase.
10.0,17.245409041786953,1574.0,Customer returned furniture worth $17.25.,Product arrived broken.
11.0,86.18094790838266,1424.0,Customer purchased groceries worth $86.18.,The product does not match the description.
12.0,95.55400891993546,1302.0,Customer requested refund for cosmetics worth $95.55.,Customer support was unhelpful.
13.0,47.13851441157395,1321.0,Customer returned electronics worth $47.14.,Highly recommend!
14.0,98.80425008117196,1700.0,Customer exchanged groceries worth $98.80.,Refund took too long.
15.0,99.83263446243002,1321.0,Customer requested refund for furniture worth $99.83.,Highly recommend!
16.0,20.735039147246727,1463.0,Customer requested refund for clothing worth $20.74.,"Great service, fast delivery!"
17.0,44.54511885107208,1962.0,Customer returned cosmetics worth $44.55.,Satisfied with the purchase.
18.0,27.05493666999777,1854.0,Customer exchanged furniture worth $27.05.,Highly recommend!
19.0,13.615519156393288,1651.0,Customer exchanged furniture worth $13.62.,Satisfied with the purchase.
20.0,20.80228963510888,1715.0,Customer exchanged furniture worth $20.80.,Satisfied with the purchase.
21.0,36.04360521851923,1724.0,Customer returned clothing worth $36.04.,Refund took too long.
22.0,99.1004273987159,1117.0,Customer requested refund for groceries worth $99.10.,The product does not match the description.
23.0,85.4201781893225,1613.0,Customer requested refund for cosmetics worth $85.42.,Product arrived broken.
24.0,84.05328458627297,1643.0,Customer returned cosmetics worth $84.05.,Very disappointed with the product quality.
25.0,50.258612452465634,1788.0,Customer returned clothing worth $50.26.,Excellent experience.
26.0,52.593928648769634,1251.0,Customer exchanged cosmetics worth $52.59.,Excellent experience.
27.0,20.48932094343152,1960.0,Customer purchased furniture worth $20.49.,Excellent experience.
28.0,12.397442736592344,1187.0,Customer purchased furniture worth $12.40.,Excellent experience.
29.0,25.334803493141827,1121.0,Customer requested refund for electronics worth $25.33.,Refund took too long.
30.0,70.07512697850342,1117.0,Customer requested refund for furniture worth $70.08.,Will buy again!
31.0,92.6193029775784,1475.0,Customer purchased groceries worth $92.62.,Refund took too long.
32.0,77.7269441692719,1993.0,Customer requested refund for furniture worth $77.73.,Refund took too long.
33.0,59.3509900357369,1030.0,Customer requested refund for clothing worth $59.35.,Very disappointed with the product quality.
34.0,61.34763595275774,1116.0,Customer purchased cosmetics worth $61.35.,Very disappointed with the product quality.
35.0,60.47401632791208,1676.0,Customer exchanged cosmetics worth $60.47.,Satisfied with the purchase.
36.0,42.20773347952953,1547.0,Customer purchased furniture worth $42.21.,Customer support was unhelpful.
37.0,71.26856791663724,1527.0,Customer requested refund for clothing worth $71.27.,Will buy again!
38.0,46.214982406953474,1087.0,Customer requested refund for electronics worth $46.21.,The product does not match the description.
39.0,14.63168948637222,1207.0,Customer requested refund for furniture worth $14.63.,The product does not match the description.
40.0,80.53777562959479,1038.0,Customer returned cosmetics worth $80.54.,Satisfied with the purchase.
41.0,47.874851353915766,1800.0,Customer returned clothing worth $47.87.,Excellent experience.
42.0,85.10981610829299,1510.0,Customer returned groceries worth $85.11.,The product does not match the description.
43.0,55.81926585658818,1104.0,Customer returned electronics worth $55.82.,Refund took too long.
44.0,86.97191973785533,2000.0,Customer requested refund for cosmetics worth $86.97.,Excellent experience.
45.0,69.75758075212585,1644.0,Customer returned cosmetics worth $69.76.,Refund took too long.
46.0,79.35791579481321,1238.0,Customer purchased cosmetics worth $79.36.,Product arrived broken.
